FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Omer Asik,Nor,C,28,76,26.1,54.3,14.2,0.157,225,0.582,412,0.517,0,0,0.545,7.3,9.8,21.4,1,5.5,0.38,0.71,6.4
Omri Casspi,Sac,SF,26,67,21.1,44,18.9,0.147,191,0.733,340,0.512,87,0.402,0.58,8.9,3.9,10.4,1.5,11.8,0.46,0.12,7.1
Otto Porter,Was,SF,21,74,19.4,40.3,15.4,0.109,79,0.734,287,0.491,104,0.337,0.523,6,3,8.7,0.9,6.8,0.59,0.41,5.2
Pablo Prigioni,Hou,PG,37,24,16.7,34.9,9.7,0.169,15,0.867,16,0.563,51,0.275,0.496,3,1.6,5.4,2.8,23.6,1.13,0,5.7
Pablo Prigioni,Nyk,PG,37,43,18.5,38.5,12.9,0.214,26,0.846,46,0.543,115,0.374,0.583,4.7,1.9,5.8,2.4,20.4,1.21,0.02,6
Patrick Beverley,Hou,PG,26,56,30.8,64.2,16.3,0.129,60,0.75,209,0.426,323,0.356,0.509,10.1,4.2,7.6,3.4,17.2,1.05,0.41,6.8
Patrick Christopher,Uta,SG,26,4,7.2,15,21.1,0.077,0,0,8,0.375,4,0,0.25,1.5,1.5,12.1,0,0,0.25,0,0
Patrick Patterson,Tor,PF,25,81,26.6,55.5,13.3,0.087,80,0.788,252,0.536,283,0.371,0.568,8,5.3,11.6,1.9,10.7,0.74,0.54,6.5
Patty Mills,San,PG,26,51,15.7,32.7,22.4,0.09,40,0.825,154,0.429,182,0.341,0.496,6.9,1.5,5.3,1.7,16.9,0.55,0.04,6.6
Pau Gasol,Chi,PF,34,78,34.4,71.6,25,0.107,366,0.803,1127,0.495,26,0.462,0.55,18.5,11.8,18.6,2.7,14.4,0.32,1.88,9.7
Paul George,Ind,SF,24,6,15.2,31.6,33.2,0.182,11,0.727,27,0.333,22,0.409,0.492,8.8,3.7,13.4,1,11.8,0.83,0.17,8.4
Paul Millsap,Atl,PF,29,73,32.7,68.2,24.2,0.133,337,0.757,714,0.513,216,0.356,0.565,16.7,7.8,13.6,3.1,15.4,1.78,0.95,9
Paul Pierce,Was,SF,37,73,26.2,54.6,20.2,0.109,210,0.781,353,0.496,303,0.389,0.58,11.9,4,8.7,2,11.9,0.63,0.33,7
Pero Antic,Atl,PF,32,63,16.5,34.3,17.9,0.123,123,0.715,123,0.455,173,0.301,0.508,5.7,3,10.4,0.8,6.9,0.29,0.24,5.8
Perry Jones,Okc,SF,23,43,14.7,30.6,15.5,0.107,37,0.649,124,0.476,60,0.233,0.459,4.3,1.8,6.5,0.4,4.1,0.4,0.19,4
Phil Pressey,Bos,PG,23,50,12,25,17.5,0.173,49,0.673,109,0.44,65,0.246,0.453,3.5,1.6,7.3,2.3,28,0.6,0.12,7.8
PJ Hairston,Cha,SG,22,45,15.3,31.8,20.7,0.072,36,0.861,106,0.358,163,0.301,0.446,5.6,2,7.4,0.5,5,0.47,0.29,4.6
PJ Tucker,Pho,SF,29,78,30.6,63.7,14.2,0.127,143,0.727,344,0.506,252,0.345,0.541,9.1,6.4,11.5,1.6,7.4,1.37,0.29,5.9
Quincy Acy,Nyk,PF,24,68,18.9,39.4,15.7,0.138,97,0.784,271,0.494,60,0.3,0.533,5.9,4.4,13.5,1,8.7,0.4,0.32,6.3
Quincy Miller,Sac,PF,22,6,10.2,21.3,18.8,0.116,11,0.727,11,0.273,7,0.143,0.372,2.8,2,11.1,0.5,7,1,0.5,5.5
Quincy Miller,Det,PF,22,4,14.6,30.4,17,0.091,0,0,9,0.333,11,0.182,0.3,3,2,7.5,1.3,12.6,0.25,0.5,5.4
Quincy Pondexter,Mem,SF,26,30,18,37.5,13.6,0.063,30,0.7,62,0.5,73,0.233,0.452,4.5,1.9,6.1,0.9,7.5,0.17,0.17,4.4
Quincy Pondexter,Nor,SF,26,45,27.8,58,14.2,0.107,66,0.758,141,0.468,171,0.433,0.592,9,3.1,6.3,1.4,7.7,0.31,0.42,4.9
Rajon Rondo,Bos,PG,28,22,31.8,66.2,18.4,0.258,36,0.333,168,0.435,32,0.25,0.422,8.3,7.5,12.9,10.8,49.3,1.68,0.14,11
