FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,VI,SPG,BPG
Sasha Vujacic,Njn,SG,26,56,28.3,57.5,19.8,0.09,94,0.851,317,0.432,255,0.369,0.518,11.4,3.2,6.8,2.3,13.8,6.2,0.95,0.09
Sonny Weems,Tor,SF,24,59,23.8,49.1,20.5,0.134,94,0.766,452,0.467,61,0.279,0.492,9.2,2.6,6.5,1.8,11.7,5.9,0.56,0.03
Shelden Williams,Nyk,PF,27,19,10.4,21.3,13.4,0.1,29,0.828,40,0.525,1,0,0.614,3.5,2.7,14.7,0.7,9.5,7.2,0.32,0.21
Shelden Williams,Den,PF,27,42,16.8,34.8,15.1,0.155,46,0.739,181,0.453,0,0,0.492,4.7,5.3,18.3,0.5,4,5.5,0.43,0.52
Shawne Williams,Nyk,SF,24,64,20.4,42.3,15.4,0.102,49,0.837,173,0.457,212,0.401,0.558,7.1,3.7,10.4,0.7,5.3,5.2,0.61,0.8
Sam Young,Mem,SG,25,78,20,41.2,17.5,0.101,116,0.767,444,0.486,50,0.34,0.525,7.3,2.4,7.2,0.9,6.9,5,0.87,0.29
Tony Allen,Mem,SG,28,72,20.5,42.3,20.1,0.131,182,0.753,469,0.527,23,0.174,0.562,8.9,2.7,7.8,1.4,11.1,6.3,1.79,0.61
Trevor Ariza,Nor,SF,25,75,34.3,70.9,17.9,0.122,197,0.701,491,0.45,271,0.303,0.487,11,5.4,9.6,2.2,10.1,5.9,1.61,0.41
Trevor Booker,Was,C,22,65,16.1,33.1,14.1,0.113,102,0.667,252,0.552,1,0,0.581,5.3,3.9,13.6,0.5,5.3,5.4,0.45,0.65
Tyson Chandler,Dal,C,28,74,27.6,57.5,14.3,0.141,295,0.732,407,0.654,0,0,0.697,10.1,9.4,19.8,0.4,2.4,4.9,0.49,1.08
Toney Douglas,Nyk,PG,24,81,24.1,50,20.2,0.1,107,0.794,371,0.461,382,0.374,0.535,10.6,3,7.1,3,19.7,7.6,1.09,0.05
Tim Duncan,San,PF,34,76,28.2,58.4,23,0.114,257,0.716,834,0.502,4,0,0.537,13.4,8.9,18.4,2.7,15.8,9.7,0.66,1.92
Tyreke Evans,Sac,PG,21,57,36.8,75.6,25.5,0.149,266,0.771,785,0.432,148,0.291,0.482,17.8,4.8,7.5,5.6,25.1,8.5,1.49,0.53
T.J. Ford,Ind,PG,27,41,18.7,38.5,18.5,0.197,48,0.729,204,0.417,32,0.188,0.434,5.4,2,5.9,3.4,28.8,7.1,0.85,0.2
Taj Gibson,Chi,PF,25,80,21.6,44.6,17,0.113,148,0.676,494,0.472,8,0.125,0.502,7.1,5.7,15.5,0.7,5.3,5.6,0.49,1.33
Tyler Hansbrough,Ind,PF,24,70,21.7,45,23.3,0.095,253,0.779,611,0.466,2,0,0.529,11,5.2,13.4,0.6,4.7,6,0.53,0.21
Ty Lawson,Den,PG,23,80,26.1,54.3,19.7,0.148,225,0.764,517,0.536,171,0.404,0.593,11.7,2.6,5.8,4.7,28.6,8,1,0.05
Tracy McGrady,Det,SG,31,72,23.2,47.8,18.8,0.151,129,0.698,427,0.464,88,0.341,0.504,8,3.5,9.2,3.5,23.7,7.9,0.92,0.47
Timofey Mozgov,Nyk,C,24,34,13.3,27.3,16.1,0.196,44,0.705,112,0.464,0,0,0.514,4,3.1,13.2,0.4,4.9,5.1,0.41,0.68
