FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,
Channing Frye,Cle,C,32,26,17.1,35.7,18.2,0.073,14,0.786,46,0.587,114,0.377,0.584,7.5,3.6,11.8,1,9.1,0.31,0.31,7,
Charles Hayes,Hou,C,32,2,11.9,24.8,10.6,0.51,2,1,2,0.5,0,0,0.694,2,4,18.5,1,11.4,0,0,6.7,
Charlie Villanueva,Dal,PF,31,62,10.7,22.3,25.3,0.084,24,0.917,155,0.503,172,0.273,0.473,5.1,2.5,12.5,0.4,6.2,0.29,0.24,6.4,
Chase Budinger,Ind,SF,27,49,14.9,31,14.9,0.126,48,0.708,125,0.488,69,0.29,0.502,4.4,2.5,9.1,1,9.9,0.59,0.18,6,
Chase Budinger,Pho,SF,27,17,11.8,24.6,13.1,0.211,8,0.625,28,0.679,17,0.235,0.567,3.2,1.7,7.9,0.9,11.4,0.18,0.06,5.8,
Chris Andersen,Mia,C,37,7,5.2,10.7,17.4,0.145,4,0.75,5,0.4,5,0.4,0.553,1.9,1.3,14.1,0.4,12.2,0.14,0.43,7.7,
Chris Andersen,Mem,C,37,20,18.3,38.2,10.2,0.084,32,0.688,53,0.604,9,0.222,0.605,4.6,4.5,13.9,0.5,3.7,0.7,0.5,4.8,
Chris Bosh,Mia,PF,31,53,33.5,69.9,24.7,0.081,268,0.795,545,0.508,222,0.365,0.571,19.1,7.4,12.4,2.4,12.1,0.68,0.64,8.3,
Chris Copeland,Mil,PF,31,24,6.5,13.5,17.4,0.1,7,0.857,15,0.467,36,0.278,0.462,2.1,0.4,3.7,0.5,10.3,0.08,0,4.6,
Chris Johnson,Uta,SF,25,70,12.2,25.5,13.6,0.158,42,0.81,95,0.474,99,0.273,0.482,2.9,1.9,9,0.6,8,0.46,0.29,4.9,
Chris Kaman,Por,C,33,16,7,14.6,20.4,0.153,3,1,39,0.487,4,0.25,0.496,2.8,1.5,11.6,0.7,15.9,0.06,0.06,8.2,
Chris McCullough,Bro,PF,20,24,15.1,31.4,16.5,0.112,23,0.478,74,0.419,35,0.371,0.47,4.7,2.8,10.5,0.4,3.7,1.17,0.5,4.6,
Chris Paul,Lac,PG,30,74,32.7,68.1,27.1,0.134,328,0.896,785,0.501,329,0.371,0.575,19.5,4.2,7,10,52.6,2.04,0.18,11.4,
Christian Wood,Phi,PF,20,17,8.5,17.7,19.4,0.031,21,0.619,42,0.429,11,0.364,0.49,3.6,2.2,14.3,0.2,3.5,0.29,0.41,5.5,
CJ McCollum,Por,SG,24,80,34.7,72.4,27.1,0.114,226,0.827,959,0.463,472,0.417,0.544,20.8,3.2,5,4.3,21.6,1.21,0.3,7.6,
CJ Miles,Ind,SF,28,64,22.9,47.6,22.8,0.092,124,0.75,246,0.476,387,0.367,0.548,11.8,2.7,6.5,1,7,0.83,0.45,5.5,
CJ Watson,Orl,PG,31,33,19.9,41.4,12.1,0.14,39,0.872,89,0.371,48,0.292,0.461,4.3,2,5.7,2.7,18.1,0.58,0.15,5.7,
CJ Wilcox,Lac,SG,25,23,7.3,15.1,19.9,0.027,12,0.75,43,0.395,23,0.391,0.491,3,0.5,3.9,0.4,9.4,0.43,0.09,4.6,
Cleanthony Early,Nyk,SF,24,17,9,18.8,14.9,0.177,4,0.75,25,0.32,15,0.267,0.371,1.8,1.5,9.2,0.4,5.7,0.12,0.18,4.6,
Clint Capela,Hou,C,21,77,19.1,39.8,16.1,0.109,211,0.379,396,0.583,1,0,0.553,7,6.4,18.5,0.6,5.1,0.77,1.19,6.3,
Cody Zeller,Cha,C,23,73,24.3,50.6,15.4,0.112,232,0.754,427,0.539,10,0.1,0.592,8.7,6.2,14.1,1,6.3,0.78,0.86,6.2,
Cole Aldrich,Lac,C,27,60,13.3,27.8,18.4,0.196,84,0.714,225,0.596,0,0,0.626,5.5,4.8,19.6,0.8,10,0.78,1.13,8.3,
Corey Brewer,Hou,SF,29,82,20.4,42.4,17.8,0.113,140,0.75,327,0.462,225,0.271,0.481,7.2,2.4,6.6,1.3,10,1.02,0.23,5.5,
Cory Jefferson,Pho,PF,25,8,6.3,13,20.9,0,6,0.667,21,0.429,1,0,0.446,2.8,2,17.3,0,0,0,0.13,0,
Cory Joseph,Tor,PG,24,80,25.6,53.3,17,0.134,174,0.764,475,0.478,110,0.273,0.512,8.5,2.6,5.9,3.1,19.3,0.79,0.25,6.4,
Courtney Lee,Mem,SG,30,51,29.2,60.8,15.3,0.096,92,0.826,281,0.502,138,0.37,0.556,10,2.3,4.5,1.5,8.1,1.04,0.31,4.5,
Courtney Lee,Cha,SG,30,28,30.2,62.9,13.6,0.09,26,0.885,141,0.475,79,0.392,0.54,8.9,3.1,5.6,2.1,10.9,1.18,0.43,5.1,
Cristiano Felicio,Chi,C,23,31,10.3,21.5,13.8,0.129,35,0.714,68,0.588,4,0,0.601,3.4,3.3,16.7,0.8,12.1,0.19,0.42,8.1,
D.J. Augustin,Okc,PG,28,34,15.3,31.8,13.6,0.181,34,0.765,60,0.367,61,0.393,0.522,4.2,1.3,4.5,1.9,16.7,0.38,0.06,5.7,
D.J. Augustin,Den,PG,28,28,23.5,49,21.5,0.166,94,0.819,121,0.479,108,0.407,0.601,11.6,1.9,4.4,4.7,32,0.89,0.07,8,
Damian Lillard,Por,PG,25,75,35.7,74.3,31.3,0.126,464,0.892,864,0.45,610,0.375,0.56,25.1,4,6.1,6.8,33.7,0.87,0.37,9.9,
Damien Inglis,Mil,SF,20,20,7.8,16.3,14.8,0.214,8,0.875,24,0.417,13,0.231,0.444,1.8,1.6,11.3,0.5,9,0.3,0.15,5.8,
Damjan Rudez,Min,SF,29,33,8.4,17.5,12.7,0.166,8,1,12,0.667,50,0.34,0.572,2.3,0.6,4.2,0.3,5.8,0.09,0.03,3.5,
D’Angelo Russell,Lal,PG,19,80,28.2,58.8,24,0.159,190,0.737,588,0.446,368,0.353,0.507,13.2,3.4,6.5,3.3,21.2,1.16,0.16,7.5,
Danilo Gallinari,Den,SF,27,53,34.7,72.3,23,0.08,432,0.868,460,0.435,240,0.363,0.582,19.5,5.3,8.5,2.5,11.8,0.79,0.36,7.3,
Danny Green,San,SG,28,79,26.1,54.4,14.6,0.114,46,0.739,212,0.448,349,0.332,0.492,7.2,3.8,8.4,1.8,9.3,1,0.81,5.6,
Dante Cunningham,Nor,SF,28,80,24.6,51.3,11,0.084,82,0.695,238,0.55,174,0.316,0.54,6.1,3,6.6,1,5.6,0.53,0.41,4.3,
Darrell Arthur,Den,PF,27,70,21.7,45.1,16.7,0.114,53,0.755,372,0.473,117,0.385,0.514,7.5,4.2,10.7,1.4,10,0.76,0.69,6.5,
Darren Collison,Sac,PG,28,74,30,62.5,19.2,0.129,226,0.858,559,0.519,217,0.401,0.591,14,2.3,4.1,4.3,21.8,1.03,0.05,6.9,
Darrun Hilliard,Det,SF,22,38,10.1,21,19.1,0.113,40,0.725,81,0.407,50,0.38,0.511,4,1.2,6.4,0.7,10.9,0.24,0.03,5.9,
David Lee,Bos,PF,32,30,15.7,32.6,22.9,0.151,51,0.784,191,0.455,1,0,0.499,7.1,4.3,14.7,1.8,18.3,0.4,0.43,9.7,
David Lee,Dal,PF,32,25,17.3,36.1,20,0.148,42,0.738,143,0.636,0,0,0.66,8.5,7,22.2,1.2,12.5,0.4,0.6,9.6,
David West,San,PF,35,78,18,37.5,18,0.123,80,0.788,441,0.546,7,0.429,0.573,7.1,4,12.5,1.8,15.4,0.56,0.71,8.2,
DeAndre Jordan,Lac,C,27,77,33.7,70.3,15.4,0.121,619,0.43,507,0.704,1,0,0.628,12.7,13.8,22.2,1.2,5.3,0.68,2.29,7.1,
DeJuan Blair,Was,C,26,29,7.5,15.7,17.8,0.169,13,0.385,67,0.418,1,0,0.414,2.1,2,14.6,0.4,7.3,0.28,0.07,6.3,
Delon Wright,Tor,PG,23,27,8.5,17.7,22.3,0.142,35,0.743,68,0.456,13,0.385,0.534,3.8,1.4,9.3,1.1,22.4,0.3,0.11,8.5,
DeMar DeRozan,Tor,SG,26,78,35.9,74.9,29.8,0.095,653,0.85,1238,0.458,139,0.338,0.55,23.5,4.5,7.1,4,20.8,1.04,0.27,8.4,
