FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,
Shayne Whittington,Ind,PF,24,7,5.8,12.1,18.3,0.296,2,0.5,9,0.556,2,0,0.463,1.6,1.7,16.1,0.4,11,0.14,0.14,7.1,
Shelvin Mack,Atl,PG,25,24,7.5,15.6,28.5,0.123,12,0.75,68,0.529,27,0.148,0.464,3.9,0.9,6.7,1.6,36.9,0.33,0,9.5,
Shelvin Mack,Uta,PG,25,28,31.4,65.4,22.2,0.192,49,0.735,223,0.48,97,0.361,0.52,12.7,3.8,7,5.3,29.3,0.93,0.11,8.1,
Solomon Hill,Ind,SF,24,59,14.7,30.6,13.2,0.127,42,0.857,134,0.515,74,0.324,0.543,4.2,2.8,10.5,1,9.6,0.63,0.19,6.2,
Sonny Weems,Pho,SG-SF,29,36,11.7,24.3,13.3,0.281,13,0.538,56,0.393,33,0.394,0.475,2.5,1.1,5.3,1.3,16.2,0.28,0.03,5.2,
Sonny Weems,Phi,SG-SF,29,7,11.1,23.1,14.6,0.155,2,0.5,12,0.417,9,0.222,0.388,2.4,1.7,8.4,0.3,3.9,0,0,3.9,
Spencer Dinwiddie,Det,PG,22,12,13.3,27.6,20.7,0.093,33,0.576,44,0.409,10,0.1,0.423,4.8,1.4,5.8,1.8,20.8,0.25,0,6.9,
Spencer Hawes,Cha,PF,27,57,18.2,37.8,17.1,0.148,65,0.831,204,0.422,102,0.373,0.508,6,4.3,12.9,1.9,16.3,0.39,0.47,8,
Stanley Johnson,Det,SF,19,73,23.1,48.1,19.6,0.15,102,0.784,395,0.41,205,0.307,0.46,8.1,4.2,9.9,1.6,10.8,0.75,0.16,6.6,
Stephen Curry,Gol,PG,27,79,34.2,71.2,32.6,0.129,400,0.908,712,0.566,886,0.454,0.669,30.1,5.4,8.6,6.7,33.7,2.14,0.2,12,
Steve Blake,Det,PG,35,58,17,35.4,14.6,0.246,20,0.8,89,0.461,151,0.344,0.51,4.4,1.5,4.9,3.4,29.5,0.41,0.09,6.6,
Steve Novak,Mil,PF,32,3,6.6,13.8,14.7,0,1,1,0,0,6,0.333,0.543,2.3,0.3,2.9,0,0,0,0,0,
Steven Adams,Okc,C,22,80,25.2,52.5,12.6,0.141,196,0.582,426,0.613,0,0,0.621,8,6.7,14.4,0.8,4.2,0.53,1.11,5.6,
Taj Gibson,Chi,PF,30,73,26.5,55.2,14.6,0.121,146,0.692,498,0.528,3,0,0.555,8.6,6.9,13.7,1.5,8.3,0.64,1.05,6.7,
Tarik Black,Lal,C,24,39,12.7,26.5,12.9,0.151,45,0.422,104,0.548,0,0,0.537,3.4,4,17,0.4,5.2,0.36,0.46,5.5,
Tayshaun Prince,Min,SF,35,77,19,39.5,8.1,0.102,19,0.684,206,0.476,23,0.174,0.466,2.9,1.9,5.8,0.9,7,0.47,0.17,3.6,
Terrence Jones,Hou,PF,24,50,20.9,43.5,19.3,0.105,116,0.664,288,0.49,79,0.316,0.519,8.7,4.2,11.1,0.8,6.3,0.46,0.76,5.9,
Terrence Ross,Tor,SF,24,73,23.9,49.9,18.2,0.066,62,0.79,288,0.483,338,0.388,0.551,9.9,2.5,6.1,0.8,5.3,0.74,0.34,4.5,
Terry Rozier,Bos,PG,21,39,8,16.6,17.7,0.147,10,0.8,79,0.291,27,0.222,0.326,1.8,1.6,10.7,0.9,16.5,0.15,0.03,6.9,
Thabo Sefolosha,Atl,SF,31,75,23.4,48.8,12.3,0.141,99,0.626,248,0.589,124,0.339,0.578,6.4,4.5,10.4,1.4,8.8,1.13,0.49,5.9,
Thaddeus Young,Bro,PF,27,73,33,68.7,21.6,0.116,163,0.644,933,0.523,30,0.233,0.533,15.1,9,15.4,1.9,9.6,1.53,0.51,7.7,
Thomas Robinson,Bro,PF,24,71,12.9,26.9,19.8,0.169,109,0.431,290,0.448,1,0,0.453,4.3,5.1,22,0.6,7.7,0.55,0.51,7.3,
Tiago Splitter,Atl,C,31,36,16.1,33.5,15.5,0.12,48,0.813,153,0.529,2,0,0.571,5.6,3.3,11.3,0.8,7.9,0.56,0.33,6.1,
Tibor Pleiss,Uta,C,26,12,6.8,14.2,19.2,0.236,2,1,23,0.478,2,0,0.464,2,1.3,10.7,0.2,4,0.08,0.17,4.7,
Tim Duncan,San,C,39,61,25.2,52.5,17.5,0.153,131,0.702,439,0.49,2,0,0.523,8.6,7.3,16.6,2.7,15.3,0.77,1.28,8.8,
Tim Frazier,Por,PG,25,35,7.8,16.2,15,0.288,15,0.533,43,0.395,17,0.176,0.383,1.5,1.1,7.8,1.2,21.3,0.29,0.03,6.4,
Tim Frazier,Nor,PG,25,16,29.3,61.1,22,0.163,59,0.763,138,0.457,31,0.419,0.539,13.1,4.4,8.4,7.5,40.3,1.44,0.06,10.3,
