FULL NAME,TEAM,POS,AGE,GP,MPG,ORTG,DRTG,USG%,TO%,3PA,3P%,FTA,FT%,eFG%,TS%,MPG,PPG,RPG,APG,VI,,
Corey Maggette,Gol,SF,30,70,12,116,114.5,26,0.128,48,0.25,547,0.834,0.522,0.613,29.1,19.6,5.2,2.4,7.1,,
Cartier Martin,Gol,SF,25,10,72,96.6,115,16.6,0.102,31,0.323,21,0.762,0.42,0.463,26.9,9,4.7,0.9,4.8,,
C.J. Miles,Uta,SF,22,63,19,99.9,107.1,21,0.118,217,0.341,95,0.695,0.495,0.515,23.6,9.9,2.7,1.7,4.8,,
Chris Paul,Nor,PG,24,45,37,122.2,109.5,22.3,0.135,127,0.409,190,0.847,0.534,0.584,37.8,18.7,4.2,10.7,11.9,,
Chris Quinn,Njn,PG,26,25,57,99.7,112.5,14.4,0.146,32,0.313,6,1,0.446,0.477,8.8,2.2,0.6,1.2,1.9,,
Chris Richard,Chi,PF,25,18,64,95.7,103.1,9.8,0.293,0,0,11,0.636,0.517,0.547,12.2,2.1,3.3,0.4,2.5,,
Craig Smith,Lac,PF,26,75,7,111.7,109.8,21.6,0.153,5,0.2,208,0.635,0.571,0.599,16.2,7.8,3.8,1.1,4.1,,
Charlie Villanueva,Det,PF,25,78,4,107.7,110.4,25.1,0.077,282,0.351,130,0.815,0.499,0.526,23.5,11.9,4.7,0.7,4.3,,
C.J. Watson,Gol,PG,25,65,17,111.6,113.1,15.6,0.103,145,0.31,166,0.771,0.51,0.555,27.3,10.3,2.6,2.8,5.8,,
Chris Wilcox,Det,PF,27,34,48,95.1,109.9,19.9,0.21,0,0,52,0.5,0.525,0.532,12.8,4.5,3.4,0.4,2.6,,
David Andersen,Hou,C,29,63,19,103,108.2,20.9,0.091,78,0.346,67,0.687,0.472,0.497,13.9,5.8,3.3,0.7,3.2,,
Darrell Arthur,Mem,PF,21,32,50,95.5,108.2,18.1,0.121,1,0,30,0.567,0.432,0.449,14.1,4.5,3.4,0.5,2.9,,
D.J. Augustin,Mem,PG,22,80,2,109.2,112.9,17.5,0.131,178,0.393,131,0.779,0.468,0.517,18.2,6.4,1.2,2.4,3.7,,
DeJuan Blair,San,PF,20,82,0,108.1,100.8,21.3,0.165,2,0,161,0.547,0.556,0.564,18,7.8,6.4,0.8,4.5,,
Derrick Brown,Cha,SG,22,57,25,107.5,102.4,17.5,0.096,7,0.286,72,0.667,0.469,0.52,9.2,3.3,1.4,0.3,1.6,,
Devin Brown,Nor,SG,30,39,43,100.6,112.8,20,0.136,147,0.367,86,0.802,0.477,0.522,24.6,9.7,2.8,1.5,4.7,,
Devin Brown,Chi,SG,30,11,71,64,105.6,20.4,0.122,17,0.235,0,0,0.278,0.278,8.3,1.8,1.4,0.6,1.9,,
DeMarre Carroll,Mem,SF,23,71,11,97.5,109.8,15.6,0.089,6,0,53,0.623,0.396,0.426,11,2.9,2.1,0.5,2.3,,
Darren Collison,Nor,PG,22,76,6,105.3,112.8,23.3,0.189,115,0.4,174,0.851,0.506,0.546,27.6,12.4,2.5,5.7,7.3,,
Daequan Cook,Mia,SG,22,45,37,90.7,107.4,19.8,0.083,126,0.317,25,0.84,0.399,0.422,15.2,5,1.8,1,3,,
Dante Cunningham,Por,SF,22,63,19,111.8,104.3,17.3,0.06,2,0,48,0.646,0.495,0.517,11.1,3.9,2.5,0.2,1.8,,
DeMar DeRozan,Tor,SG,20,77,5,110.6,115.1,18,0.094,16,0.25,194,0.763,0.503,0.555,21.4,8.6,2.9,0.7,3.5,,
DeSagana Diop,Cha,C,27,27,55,93.9,100.3,8.1,0.267,0,0,9,0.222,0.517,0.485,9.5,1.2,2.4,0.2,1.7,,
Derek Fisher,Lal,PG,35,82,0,105.6,106,14.3,0.112,224,0.348,132,0.856,0.45,0.499,27,7.5,2.1,2.5,5.2,,
