FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,,,,
Dwyane Wade,Chi,SG,35,60,29.9,62.2,29.6,0.113,281,0.794,810,0.456,145,0.31,0.508,18.3,4.5,8.1,3.8,22.3,1.43,0.68,9.1,,,,
Ed Davis,Por,PF,27,46,17.2,35.7,12,0.172,81,0.617,142,0.528,0,0,0.563,4.3,5.3,17.2,0.6,4.6,0.33,0.48,5.6,,,,
Elfrid Payton,Orl,PG,22,82,29.4,61.3,21.6,0.15,211,0.692,766,0.509,146,0.274,0.52,12.8,4.7,8.7,6.5,35.7,1.07,0.49,9.9,,,,
Elijah Millsap,Pho,SG,29,2,11.6,24.1,17.9,0.202,2,0.5,5,0.2,2,0,0.19,1.5,3,14.1,0.5,5.5,0,0,4.5,,,,
Emmanuel Mudiay,Den,PG,20,55,25.6,53.2,22.6,0.165,167,0.784,373,0.408,178,0.315,0.483,11,3.2,7,3.9,21.8,0.75,0.24,8.1,,,,
Enes Kanter,Okc,C,24,72,21.3,44.4,27.3,0.125,285,0.786,699,0.568,38,0.132,0.599,14.3,6.7,17.4,0.9,7.9,0.43,0.53,8.3,,,,
Eric Bledsoe,Pho,PG,27,66,33,68.7,28.1,0.153,458,0.847,724,0.477,310,0.335,0.563,21.1,4.8,8,6.3,31.1,1.38,0.47,10.4,,,,
Eric Gordon,Hou,SG,28,75,31,64.5,22.1,0.1,175,0.84,355,0.468,661,0.372,0.557,16.2,2.7,4.7,2.5,12.3,0.64,0.55,6.2,,,,
Ersan Ilyasova,Okc,PF,29,3,20.7,43.1,13.7,0.2,0,0,4,0.75,12,0.25,0.469,5,5.3,14.3,0.3,2.2,1,0.33,3.9,,,,
Ersan Ilyasova,Phi,PF,29,53,27.3,56.9,23.6,0.099,142,0.768,350,0.509,298,0.359,0.553,14.8,5.9,12,1.8,11.5,0.62,0.26,7.9,,,,
