FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,,,,
Thon Maker,Mil,PF,19,57,9.9,20.5,17.8,0.077,49,0.653,107,0.514,74,0.378,0.558,4,2,11.7,0.4,6.2,0.18,0.46,6,,,,
Tiago Splitter,Phi,C,32,8,9.5,19.8,23.9,0.143,11,0.818,25,0.48,6,0.333,0.544,4.9,2.8,16,0.5,8.9,0.13,0.13,8,,,,
Tim Frazier,Nor,PG,26,65,23.5,48.9,16.3,0.18,129,0.76,276,0.446,128,0.313,0.504,7.1,2.7,6,5.2,31.4,0.86,0.09,7.9,,,,
Tim Hardaway Jr.,Atl,SG,24,79,27.3,56.8,22.5,0.095,214,0.766,495,0.537,417,0.357,0.568,14.5,2.8,5.7,2.3,14.3,0.7,0.19,6.6,,,,
Tim Quarterman,Por,SG,22,16,5,10.4,22.8,0.266,3,0,16,0.5,13,0.385,0.511,1.9,0.9,9.7,0.7,21.1,0.13,0.19,8.5,,,,
Timofey Mozgov,Lal,C,30,54,20.4,42.6,16.8,0.166,78,0.808,327,0.517,1,0,0.553,7.4,4.9,13.1,0.8,5.9,0.3,0.57,6,,,,
Timothe Luwawu-Cabar,Phi,SF,21,69,17.2,35.9,17.8,0.15,123,0.854,200,0.475,161,0.311,0.536,6.4,2.2,6.9,1.1,9.6,0.46,0.14,5.8,,,,
TJ Warren,Pho,SF,23,66,31,64.6,19.2,0.061,154,0.773,716,0.527,98,0.265,0.539,14.4,5.1,9,1.1,5.8,1.15,0.59,5.6,,,,
Tobias Harris,Det,PF,24,82,31.3,65.2,21.7,0.076,226,0.841,749,0.537,314,0.347,0.568,16.1,5.1,8.8,1.7,8.8,0.72,0.48,6.6,,,,
Tomas Satoransky,Was,SG,25,57,12.6,26.3,12.1,0.19,33,0.697,110,0.473,37,0.243,0.477,2.7,1.5,6.5,1.6,16.6,0.46,0.11,5.9,,,,
Toney Douglas,Mem,PG,30,24,16.4,34.2,17.4,0.139,29,0.828,75,0.48,42,0.167,0.451,4.9,2.5,8.9,2.3,22.2,0.75,0.21,7.4,,,,
Tony Allen,Mem,SG,35,71,27,56.2,17.9,0.133,130,0.615,541,0.479,54,0.278,0.493,9.1,5.5,11.7,1.4,8.4,1.62,0.41,6.1,,,,
Tony Parker,San,PG,34,63,25.2,52.5,20.2,0.125,117,0.726,500,0.484,69,0.333,0.514,10.1,1.8,4,4.5,27.8,0.54,0.03,6.9,,,,
Tony Snell,Mil,SG,25,80,29.2,60.8,12.1,0.088,58,0.81,186,0.548,355,0.406,0.603,8.5,3.1,6.2,1.2,5.9,0.69,0.18,4.3,,,,
Treveon Graham,Cha,SG,23,27,7,14.6,11.8,0.06,15,0.667,25,0.4,15,0.6,0.612,2.1,0.8,6.4,0.2,4.7,0.22,0.04,4,,,,
Trevor Ariza,Hou,SF,31,80,34.7,72.2,14.2,0.079,126,0.738,244,0.557,555,0.344,0.549,11.7,5.7,9,2.2,8.8,1.84,0.25,6.1,,,,
Trevor Booker,Bro,PF,29,71,24.7,51.5,18.7,0.166,110,0.673,512,0.547,78,0.321,0.555,10,8,17.2,1.9,12.9,1.07,0.39,8.6,,,,
Trey Burke,Was,PG,24,57,12.3,25.7,19.6,0.152,29,0.759,185,0.459,70,0.443,0.532,5,0.8,3.8,1.8,20.7,0.19,0.09,6.3,,,,
Trey Lyles,Uta,PF,21,71,16.3,34,21.7,0.119,79,0.722,235,0.4,204,0.319,0.464,6.2,3.3,11.7,1,9.4,0.37,0.28,6.7,,,,
Tristan Thompson,Cle,C,25,78,30,62.4,11.3,0.108,213,0.498,434,0.604,3,0,0.594,8.1,9.2,16.9,1,4.6,0.5,1.08,5.6,,,,
Troy Daniels,Mem,SG,25,67,17.7,36.8,21.7,0.08,54,0.796,140,0.336,355,0.389,0.531,8.2,1.5,4.8,0.7,6.6,0.3,0.06,4.6,,,,
Troy Williams,Mem,SF,22,24,17.4,36.3,17.4,0.163,25,0.6,82,0.5,41,0.244,0.474,5.3,1.9,6.2,0.8,7.2,1,0.38,4.6,,,,
Troy Williams,Hou,SF,22,6,23.1,48.2,16.2,0.113,7,0.857,23,0.609,21,0.381,0.616,9.7,4,9.4,1,6.4,0.5,0.17,5.9,,,,
Ty Lawson,Sac,PG,29,69,25.1,52.3,19.5,0.173,217,0.797,404,0.502,118,0.288,0.551,9.9,2.6,6,4.8,29.9,1.07,0.09,7.9,,,,
Tyler Ennis,Hou,PG,22,31,6.3,13.2,19.3,0.269,3,0.667,48,0.396,16,0.375,0.444,1.9,0.6,5.3,1.1,24.5,0.19,0,6.8,,,,
Tyler Ennis,Lal,PG,22,22,17.8,37.1,19,0.12,22,0.864,90,0.489,54,0.389,0.553,7.7,1.2,3.6,2.4,20.3,0.86,0.09,6.3,,,,
Tyler Johnson,Mia,PG,24,73,29.8,62.1,20.9,0.089,254,0.768,574,0.46,249,0.373,0.536,13.7,4,7.4,3.2,16.6,1.15,0.6,7.5,,,,
Tyler Ulis,Pho,PG,21,61,18.4,38.4,20.3,0.141,71,0.775,358,0.455,79,0.266,0.474,7.3,1.6,4.6,3.7,30.5,0.79,0.08,7.6,,,,
Tyler Zeller,Bos,C,27,51,10.3,21.4,16.5,0.102,39,0.564,157,0.497,1,0,0.508,3.5,2.4,13.2,0.8,12.3,0.14,0.41,7.3,,,,
Tyreke Evans,Nor,SG,27,26,18.2,37.9,27.3,0.134,58,0.776,157,0.446,70,0.3,0.491,9.5,3.3,9.6,3.5,31.3,0.88,0.15,10.5,,,,
Tyreke Evans,Sac,SG,27,14,22.5,46.8,25.9,0.122,34,0.706,95,0.4,48,0.438,0.516,11.6,3.6,9.2,2.4,17.7,0.86,0.36,8.3,,,,
Tyson Chandler,Pho,C,34,47,27.6,57.5,11.2,0.187,124,0.734,228,0.671,0,0,0.703,8.4,11.5,22.6,0.6,3.3,0.7,0.51,5.6,,,,
Udonis Haslem,Mia,C,36,16,8.1,17,12.8,0.213,15,0.6,20,0.55,3,0,0.524,1.9,2.3,15.3,0.4,6.4,0.38,0.06,5.9,,,,
Victor Oladipo,Okc,SG,24,67,33.2,69.1,21.4,0.106,154,0.753,580,0.491,352,0.361,0.534,15.9,4.3,7.2,2.6,12.5,1.13,0.31,6.8,,,,
Vince Carter,Mem,SG,40,73,24.7,51.4,14.9,0.085,115,0.765,194,0.418,296,0.378,0.542,8,3.1,7.2,1.8,11.5,0.82,0.49,5.7,,,,
Wade Baldwin IV,Mem,PG,20,33,12.3,25.6,19.1,0.229,37,0.838,93,0.355,22,0.136,0.404,3.2,1.4,6.5,1.8,22.8,0.55,0.21,6.5,,,,
Wayne Ellington,Mia,SG,29,62,24.2,50.4,17.9,0.05,43,0.86,161,0.509,394,0.378,0.565,10.5,2.1,4.8,1.1,7.1,0.56,0.06,4.8,,,,
Wayne Selden,Nor,SG,22,3,15.7,32.6,12,0.235,4,0.5,1,1,7,0.571,0.82,5.3,1.7,5.6,0.3,3,0.67,0,3.5,,,,
Wayne Selden,Mem,SG,22,11,17.2,35.8,16.1,0.134,18,0.667,29,0.586,21,0.143,0.475,5,1,3.3,1.1,9.9,0.36,0.09,4.1,,,,
Wesley Johnson,Lac,SF,29,68,11.9,24.8,12.5,0.08,17,0.647,82,0.537,118,0.246,0.448,2.7,2.7,12.5,0.3,3.9,0.43,0.44,4.4,,,,
Wesley Matthews,Dal,SG,30,73,34.2,71.2,19.4,0.099,179,0.816,368,0.432,479,0.363,0.533,13.5,3.5,6,2.9,13.6,1.05,0.21,6,,,,
Will Barton,Den,SG,26,60,28.4,59.2,21.1,0.115,190,0.753,431,0.483,235,0.37,0.547,13.7,4.3,8.4,3.4,17.7,0.8,0.47,8.2,,,,
Willie Cauley-Stein,Sac,C,23,75,18.9,39.5,19.7,0.112,151,0.669,479,0.532,2,0,0.558,8.1,4.5,13.7,1.1,9.4,0.71,0.59,7.2,,,,
Willie Reed,Mia,C,26,71,14.5,30.2,15.3,0.087,88,0.557,281,0.573,4,0.25,0.578,5.3,4.7,17.8,0.4,3.9,0.25,0.68,5.9,,,,
Willy Hernangomez,Nyk,C,22,72,18.4,38.3,20.3,0.161,125,0.728,450,0.538,15,0.267,0.564,8.2,7,20.4,1.3,11.5,0.57,0.5,9.2,,,,
Wilson Chandler,Den,SF,29,71,30.9,64.5,22,0.1,194,0.727,613,0.527,326,0.337,0.545,15.7,6.5,11.6,2,9.8,0.72,0.44,7.6,,,,
Yogi Ferrell,Bro,PG,23,10,15.1,31.5,19.8,0.2,16,0.625,22,0.455,27,0.296,0.482,5.4,1.2,4.2,1.7,16.9,0.2,0.2,5.9,,,,
Yogi Ferrell,Dal,PG,23,36,29.1,60.5,19.5,0.129,73,0.877,195,0.421,150,0.4,0.541,11.3,2.7,5.4,4.3,24.1,1.11,0.19,7,,,,
Zach LaVine,Min,SG,21,47,37.2,77.5,21.7,0.099,140,0.836,400,0.515,310,0.387,0.576,18.9,3.4,5.3,3,12.6,0.87,0.21,6.2,,,,
Zach Randolph,Mem,PF,35,73,24.5,51,29.2,0.086,193,0.731,870,0.474,94,0.223,0.49,14.1,8.2,19.1,1.7,13.5,0.52,0.14,9.5,,,,
Zaza Pachulia,Gol,C,32,70,18.1,37.7,15.3,0.194,126,0.778,305,0.538,2,0,0.588,6.1,5.9,17.7,1.9,13.6,0.84,0.47,9,,,,
Axel Toupane,Nor,SF,24,2,20.7,43.1,8.6,0,0,0,5,0.8,3,0.333,0.688,5.5,0.5,1.3,0,0,0.5,0.5,0,,,,
