,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Brandon Clarke,Mem,F-G,24.52,39,25.9,54,17.4,5.2,80,0.675,304,0.563,58,0.328,0.551,0.57,11.6,5.6,11.6,1.7,9.4,1.1,0.85,0.56,7.4,119.4,107.1
Gary Clark,Orl,F,26.37,35,18.2,37.9,10.4,11.2,10,0.8,23,0.391,108,0.287,0.424,0.439,3.4,3.2,9.1,0.9,6.4,0.34,0.2,0.49,4.7,97.2,110.9
Jordan Clarkson,Uta,G,28.81,46,25.6,53.3,29.1,10,79,0.949,289,0.516,395,0.352,0.523,0.55,17.2,4,8.2,2.2,13.8,0.85,0.15,1.74,8.3,108.1,106.1
Nicolas Claxton,Bro,F-C,21.95,15,18.9,39.5,17.4,7,33,0.545,87,0.609,4,0.25,0.599,0.602,8.5,4.5,13.2,0.8,6,0.67,1.53,0.53,6.6,121.5,106
Amir Coffey,Lac,G-F,23.78,30,8,16.7,15.6,13,17,0.529,26,0.538,40,0.45,0.621,0.619,3,0.8,5.4,0.5,8.4,0.23,0,0.37,5.3,114.9,110.9
John Collins,Atl,F-C,23.52,46,30.6,63.7,22.4,7.8,153,0.837,448,0.6,157,0.382,0.593,0.629,18.4,7.8,14,1.3,7.4,0.54,1.07,1.24,7.5,124.3,104.1
Mike Conley,Uta,G,33.47,37,29.4,61.3,22.6,12.5,100,0.84,218,0.482,240,0.421,0.56,0.595,16.1,3.5,6.3,5.5,27.7,1.32,0.14,1.95,9.2,122.1,105.4
Pat Connaughton,Mil,G,28.23,43,22.9,47.6,11.3,7.6,26,0.769,75,0.547,158,0.411,0.594,0.608,6.9,4.7,10.9,1.4,7.5,0.7,0.4,0.47,6.2,126.8,106.2
Quinn Cook,Lal,G,28.02,16,3.9,8.1,21.9,9.6,5,0.8,13,0.538,13,0.385,0.558,0.585,2.1,0.3,4.5,0.3,12.3,0.06,0.06,0.19,5.9,,
Quinn Cook,Cle,G,28.02,7,13.6,28.4,21.5,8.5,3,1,29,0.379,13,0.462,0.476,0.496,6.1,1.7,7,1.9,22,0.43,0,0.57,7.9,105.4,108.8
Tyler Cook,Bro,F,23.52,4,4.2,8.6,10.5,25,0,0,3,0.333,0,0,0.333,0.333,0.5,0.5,6.7,0.5,14.5,0,0,0.25,4.8,88.2,108.2
Tyler Cook,Det,F,23.52,6,11.2,23.4,13.1,24.8,5,0.4,13,0.538,0,0,0.538,0.526,2.7,3.5,17.4,0.3,4.4,0.33,0,0.83,5.1,92.9,103.8
DeMarcus Cousins,Hou,C,30.63,25,20.2,42.2,23.2,14.2,59,0.746,94,0.426,116,0.336,0.469,0.511,9.6,7.6,20,2.4,18.3,0.84,0.72,1.56,11.1,101.4,94.9
Robert Covington,Por,F,30.29,44,32.4,67.5,12.1,12.6,39,0.821,95,0.463,236,0.381,0.541,0.56,8.9,6.8,11.3,1.8,7.2,1.64,1.3,1.14,5.9,110.4,109.1
Torrey Craig,Mil,F,30.28,18,11.2,23.3,10.8,9.6,2,0.5,24,0.417,22,0.364,0.478,0.48,2.5,2.4,11.2,0.9,9.6,0.5,0.39,0.28,6.3,112.3,100.4
Torrey Craig,Pho,F,30.28,5,16,33.3,16.6,6.7,4,0.5,15,0.6,11,0.455,0.635,0.63,7,3.6,12.6,1.4,12.5,0.6,0.4,0.4,8.2,132.4,97.2
Jae Crowder,Pho,F,30.73,42,27.9,58.1,15.8,8.9,45,0.822,89,0.472,269,0.372,0.536,0.557,10,5,10,2.1,9.9,0.86,0.29,0.88,6.8,110.2,105.1
Jarrett Culver,Min,G-F,22.1,24,17.6,36.7,18.7,12.7,40,0.6,105,0.486,42,0.214,0.439,0.465,6.4,4,12.1,0.7,5.8,0.58,0.33,1,5.9,93.2,106.6
Seth Curry,Phi,G,30.6,35,29.4,61.3,17.6,11.7,63,0.921,184,0.495,165,0.43,0.566,0.601,12.9,2.2,4.1,2.9,13.7,0.89,0.23,1.43,5.9,115.6,107.5
